[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Loading dataset:   3%|████▎                                                                                                                                                     | 13/465 [00:00<00:03, 125.70it/s]
GPU ID:  0

Loading dataset: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 465/465 [00:03<00:00, 123.03it/s]

Loading dataset:  85%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎                      | 396/465 [00:02<00:00, 163.51it/s]
eta: 0:11:20  epoch: 1  step: 1001  rgb_loss: 0.1306  depth_loss: 0.0507  joint_loss: 0.0767  cross_entropy_loss: 0.8593  eikonal_loss: 0.0747  loss: 0.6223  beta: 0.0413  theta: 0.0000  data: 0.0163  batch: 0.6814  lr: 0.000477  max_mem: 9152
eta: 0:12:22  epoch: 1  step: 1030  rgb_loss: 0.1422  depth_loss: 0.0907  joint_loss: 0.2743  cross_entropy_loss: 0.8189  eikonal_loss: 0.1095  loss: 0.6671  beta: 0.0411  theta: -0.0049  data: 0.0208  batch: 0.8290  lr: 0.000477  max_mem: 9191
eta: 0:12:17  epoch: 1  step: 1031  rgb_loss: 0.1415  depth_loss: 0.0896  joint_loss: 0.2616  cross_entropy_loss: 0.8134  eikonal_loss: 0.1056  loss: 0.6614  beta: 0.0411  theta: -0.0051  data: 0.0208  batch: 0.8289  lr: 0.000477  max_mem: 9191
eta: 0:12:12  epoch: 1  step: 1032  rgb_loss: 0.1370  depth_loss: 0.0877  joint_loss: 0.2523  cross_entropy_loss: 0.8033  eikonal_loss: 0.1043  loss: 0.6494  beta: 0.0411  theta: -0.0053  data: 0.0208  batch: 0.8287  lr: 0.000477  max_mem: 9191
eta: 0:12:08  epoch: 1  step: 1033  rgb_loss: 0.1374  depth_loss: 0.0843  joint_loss: 0.2540  cross_entropy_loss: 0.8129  eikonal_loss: 0.1024  loss: 0.6511  beta: 0.0411  theta: -0.0055  data: 0.0208  batch: 0.8287  lr: 0.000477  max_mem: 9191
eta: 0:12:04  epoch: 1  step: 1034  rgb_loss: 0.1397  depth_loss: 0.0844  joint_loss: 0.2581  cross_entropy_loss: 0.8022  eikonal_loss: 0.1043  loss: 0.6485  beta: 0.0410  theta: -0.0057  data: 0.0208  batch: 0.8287  lr: 0.000477  max_mem: 9191
eta: 0:12:00  epoch: 1  step: 1035  rgb_loss: 0.1390  depth_loss: 0.0788  joint_loss: 0.2520  cross_entropy_loss: 0.7889  eikonal_loss: 0.1054  loss: 0.6354  beta: 0.0410  theta: -0.0059  data: 0.0208  batch: 0.8284  lr: 0.000477  max_mem: 9191
eta: 0:11:56  epoch: 1  step: 1036  rgb_loss: 0.1379  depth_loss: 0.0787  joint_loss: 0.2478  cross_entropy_loss: 0.7897  eikonal_loss: 0.1048  loss: 0.6343  beta: 0.0410  theta: -0.0061  data: 0.0202  batch: 0.8268  lr: 0.000477  max_mem: 9191
eta: 0:11:53  epoch: 1  step: 1037  rgb_loss: 0.1379  depth_loss: 0.0763  joint_loss: 0.2493  cross_entropy_loss: 0.7831  eikonal_loss: 0.1050  loss: 0.6287  beta: 0.0410  theta: -0.0063  data: 0.0202  batch: 0.8263  lr: 0.000477  max_mem: 9191
eta: 0:11:49  epoch: 1  step: 1038  rgb_loss: 0.1421  depth_loss: 0.0761  joint_loss: 0.2413  cross_entropy_loss: 0.7848  eikonal_loss: 0.1018  loss: 0.6328  beta: 0.0410  theta: -0.0065  data: 0.0200  batch: 0.7671  lr: 0.000477  max_mem: 9191
eta: 0:11:46  epoch: 1  step: 1039  rgb_loss: 0.1423  depth_loss: 0.0755  joint_loss: 0.2373  cross_entropy_loss: 0.7864  eikonal_loss: 0.1007  loss: 0.6330  beta: 0.0410  theta: -0.0067  data: 0.0198  batch: 0.7524  lr: 0.000477  max_mem: 9191
eta: 0:11:43  epoch: 1  step: 1040  rgb_loss: 0.1440  depth_loss: 0.0741  joint_loss: 0.2344  cross_entropy_loss: 0.7806  eikonal_loss: 0.1010  loss: 0.6303  beta: 0.0410  theta: -0.0069  data: 0.0192  batch: 0.7009  lr: 0.000477  max_mem: 9191
eta: 0:11:40  epoch: 1  step: 1041  rgb_loss: 0.1370  depth_loss: 0.0724  joint_loss: 0.2443  cross_entropy_loss: 0.7677  eikonal_loss: 0.1015  loss: 0.6156  beta: 0.0410  theta: -0.0071  data: 0.0178  batch: 0.6945  lr: 0.000477  max_mem: 9191
eta: 0:11:37  epoch: 1  step: 1042  rgb_loss: 0.1356  depth_loss: 0.0753  joint_loss: 0.2374  cross_entropy_loss: 0.7668  eikonal_loss: 0.1024  loss: 0.6164  beta: 0.0410  theta: -0.0073  data: 0.0172  batch: 0.6919  lr: 0.000477  max_mem: 9191
eta: 0:11:34  epoch: 1  step: 1043  rgb_loss: 0.1356  depth_loss: 0.0731  joint_loss: 0.2327  cross_entropy_loss: 0.7647  eikonal_loss: 0.1022  loss: 0.6129  beta: 0.0410  theta: -0.0075  data: 0.0159  batch: 0.6344  lr: 0.000477  max_mem: 9191
eta: 0:11:31  epoch: 1  step: 1044  rgb_loss: 0.1366  depth_loss: 0.0721  joint_loss: 0.2411  cross_entropy_loss: 0.7641  eikonal_loss: 0.1030  loss: 0.6131  beta: 0.0410  theta: -0.0077  data: 0.0153  batch: 0.6338  lr: 0.000477  max_mem: 9191
eta: 0:11:29  epoch: 1  step: 1045  rgb_loss: 0.1382  depth_loss: 0.0749  joint_loss: 0.2450  cross_entropy_loss: 0.7833  eikonal_loss: 0.0917  loss: 0.6261  beta: 0.0409  theta: -0.0079  data: 0.0153  batch: 0.6340  lr: 0.000477  max_mem: 9191
eta: 0:11:26  epoch: 1  step: 1046  rgb_loss: 0.1405  depth_loss: 0.0754  joint_loss: 0.2509  cross_entropy_loss: 0.7825  eikonal_loss: 0.0842  loss: 0.6281  beta: 0.0409  theta: -0.0082  data: 0.0154  batch: 0.6342  lr: 0.000477  max_mem: 9191
eta: 0:11:24  epoch: 1  step: 1047  rgb_loss: 0.1464  depth_loss: 0.0730  joint_loss: 0.2426  cross_entropy_loss: 0.7756  eikonal_loss: 0.0829  loss: 0.6275  beta: 0.0409  theta: -0.0084  data: 0.0155  batch: 0.6343  lr: 0.000477  max_mem: 9191
eta: 0:11:22  epoch: 1  step: 1048  rgb_loss: 0.1447  depth_loss: 0.0741  joint_loss: 0.2356  cross_entropy_loss: 0.7630  eikonal_loss: 0.0882  loss: 0.6209  beta: 0.0409  theta: -0.0086  data: 0.0155  batch: 0.6345  lr: 0.000477  max_mem: 9191
eta: 0:11:19  epoch: 1  step: 1049  rgb_loss: 0.1460  depth_loss: 0.0721  joint_loss: 0.2259  cross_entropy_loss: 0.7664  eikonal_loss: 0.0770  loss: 0.6203  beta: 0.0409  theta: -0.0088  data: 0.0155  batch: 0.6346  lr: 0.000477  max_mem: 9191
eta: 0:11:17  epoch: 1  step: 1050  rgb_loss: 0.1421  depth_loss: 0.0710  joint_loss: 0.2136  cross_entropy_loss: 0.7733  eikonal_loss: 0.0755  loss: 0.6180  beta: 0.0409  theta: -0.0090  data: 0.0155  batch: 0.6347  lr: 0.000477  max_mem: 9191
